COD_INCISO,COD_CAPITULO,COD_PARTIDA,COD_SUBPARTIDA,DESCRIPCIÓN,DAI,ITBMS,ISC,ICCDP,CAPITULO_NOMBRE
10121000000,1,101,10121,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10121000000,1,101,10121,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10129000000,1,101,10129,- - Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10130000000,1,101,10130,- Asnos,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10190000000,1,101,10190,- Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10221000000,1,102,10221,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10229000000,1,102,10229,- - Los demás,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10231000000,1,102,10231,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10239000000,1,102,10239,- - Los demás0,0,0.0,0.0,102.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10290100000,1,102,10290,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10290900000,1,102,10290,- - Los demás,15,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10310000000,1,103,10310,- Reproductores de raza pura,5,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10391000000,1,103,10391,- - De peso inferior a 50 kg,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10392000000,1,103,10392,- - De peso superior o igual a 50 kg,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10410100000,1,104,10410,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10410900000,1,104,10410,- - Otros,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10420100000,1,104,10420,- - Reproductores de raza pura,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10420900000,1,104,10420,- - Los demás,15,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10511000000,1,105,10511,- - Aves de la especie Gallus domesticus,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10512000000,1,105,10512,- - Pavos (gallipavos),0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10513000000,1,105,10513,- - Patos,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10514000000,1,105,10514,- - Gansos,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10515000000,1,105,10515,- - Pintadas,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10594000000,1,105,10594,- - Aves de la especie Gallus domesticus,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10599000000,1,105,10599,- - Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10611000000,1,106,10611,- - Primates,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10613000000,1,106,10613,- - Camellos y demás camélidos ( Camelidae ),10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10614000000,1,106,10614,- - Conejos y liebres,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10619000000,1,106,10619,- - Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10620000000,1,106,10620,- Reptiles (incluidas las serpientes y tortugas de mar),10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10631000000,1,106,10631,- - Aves de rapiña,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10632000000,1,106,10632,"- - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10633000000,1,106,10633,- - Avestruces; emúes ( Dromaius novaehollandiae ),10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10639000000,1,106,10639,- - Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10641000000,1,106,10641,- - Abejas,0,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10649000000,1,106,10649,- - Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
10690000000,1,106,10690,- Los demás,10,0.0,0.0,0.0,"Animales  vivosEn esta Sección, cualquier referencia a un género o a una especie determinada de un animal se aplica también, salvo disposición en contrario, a los animales jóvenes de ese género o de esa"
20110000000,2,201,20110,- En canales o medias canales,II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20120000010,2,201,20120,- - Prime y Choice cortes (trozos),II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20120000090,2,201,20120,- - Los demás,II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20130000010,2,201,20130,- - Prime y Choice cortes (trozos),II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20130000090,2,201,20130,- - Los demás,II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20210000000,2,202,20210,- En canales o medias canales,II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20210000000,2,202,20210,-,II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20220000010,2,202,20220,- - Prime y Choice cortes (trozos),II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20220000090,2,202,20220,- - Los demás,II/30,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20230000010,2,202,20230,- - Prime y Choice cortes (trozos),II/25,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20230000020,2,202,20230,- - En trozos irregulares (trimming),II/25,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20230000090,2,202,20230,- - Los demás,II/25,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20311000010,2,203,20311,- - - En canales,60,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20311000020,2,203,20311,- - - En medias canales,60,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20312000010,2,203,20312,- - - Piernas y sus trozos,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20312000020,2,203,20312,- - - Paletas y sus trozos,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000010,2,203,20319,"- - - Chuleta sin deshuesar, lomo con hueso",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000020,2,203,20319,"- - - Solomillo, lomo sin hueso, filete de cerdo",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000030,2,203,20319,- - - Pierna (jamón) deshuesado,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000040,2,203,20319,"- - - Paleta (picnic) deshuesado, brasuelo crudo",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000051,2,203,20319,- - - - Costilla entera,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000052,2,203,20319,"- - - - Costilla spareribs, st louis, brisket bones",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000053,2,203,20319,"- - - - Costilla de lomo (baby back ribs, riblets)",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000060,2,203,20319,"- - - Panceta, tocino entreverado",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000070,2,203,20319,- - - Recorte (trimming - mechanically o hand diced),70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20319000090,2,203,20319,- - - Las demás,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20321000010,2,203,20321,- - - En canales,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20321000020,2,203,20321,- - - En medias canales,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20322000010,2,203,20322,- - - Piernas y sus trozos,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20322000020,2,203,20322,- - - Paletas y sus trozos,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000010,2,203,20329,"- - - Chuleta sin deshuesar, lomo con hueso",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000020,2,203,20329,"- - - Solomillo, lomo sin hueso, filete de cerdo",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000030,2,203,20329,- - - Pierna (jamón) deshuesado,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000040,2,203,20329,"- - - Paleta (picnic) deshuesado, brasuelo crudo",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000051,2,203,20329,- - - - Costilla entera,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000052,2,203,20329,"- - - - Costilla spareribs, st louis, brisket bones",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000053,2,203,20329,"- - - - Costilla de lomo (baby back ribs, riblets)",70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000060,2,203,20329,- - - Panceta (tocino entreverado),70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000070,2,203,20329,- - - Recorte (trimming - mechanically o hand diced),70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20329000090,2,203,20329,- - - Las demás,70,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20410000000,2,204,20410,"- Canales o medias canales de cordero, frescas o refrigeradas",15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20421000000,2,204,20421,- - En canales o medias canales,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20422000000,2,204,20422,- - Los demás cortes (trozos) sin deshuesar,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20423000000,2,204,20423,- - Deshuesadas,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20430000000,2,204,20430,"- Canales o medias canales de cordero, congeladas",15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20430000000,2,204,20430,"- Canales o medias canales de cordero, congeladas",15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20441000000,2,204,20441,- - En canales o medias canales,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20442000000,2,204,20442,- - Los demás cortes (trozos) sin deshuesar,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20443000000,2,204,20443,- - Deshuesadas,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20450000000,2,204,20450,- Carne de animales de la especie caprina,15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20500000000,2,205,20500,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.",15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20610000000,2,206,20610,"- De la especie bovina, frescos o refrigerados",II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20621000000,2,206,20621,- - Lenguas,II/10,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20622000000,2,206,20622,- - Hígados,II/10,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20629000010,2,206,20629,- - - Únicamente arrachera,II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20629000090,2,206,20629,- - - Los demás,II/15,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
20630100000,2,206,20630,- - Piel,II/10,0.0,0.0,0.0,"d) las grasas animales, excepto los productos de la partida  02.09 (Capítulo 15)."
