FECHA_IMPORTACION_EXPORTACION,IMPORTADOR_EXPORTADOR,PAIS_DE_PROCEDENCIA_DESTINO,COD_INCISO,COD_CAPITULO,COD_PARTIDA,COD_SUBPARTIDA,CATEGORIA,DESCRIPCIÓN,PUNTO_ENTRADA_PAIS,PRECIO_UNIDAD,CANTIDAD,UNIDAD,PESO_NETO,PESO_BRUTO,VALOR_FOB,VALOR_FLETE,VALOR_SEGURO,VALOR_CIF,IMPUESTO_IMPORTACION,ITBMS,IMP_PROTECCION_PETROLEO,IMPUESTOS_ISC,TOTAL_A_PAGAR,MODO_TRANSPORTE,source_file,descripcion_oficial,CAPITULO_NOMBRE,tarifa_oficial,categoria_agricola,tipo_producto
2020-01-07 00:00:00,IMPORTADORA Y EXP HERMANOS GAGO S A,ESTADOS UNIDOS DE NORTEAMERICA,70410000000,7,4,10,"Coliflores y brécoles (""broccoli"")",COLIFLOR FRESCOS,"PUERTO DE BALBOA, PANAMA",1.0914285714285714,56.0,CS,863.65,914.45,1501.34,149.52,1.14,1652.0,61.12,0.0,0.0,0.0,61.12,,IMP_2020_1.xlsx,- Coliflores y brócolis,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- Coliflores y brócolis
2020-01-07 00:00:00,FRESH FLORAL Y FRUIT SERVICES,COSTA RICA,60420900090,6,4,20,Los demás,PHOENIX,"PASO CANOAS, CHIRIQUI",0.0,3.0,PK,15.3,15.3,75.0,5.44,0.56,81.0,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Follaje
2020-01-03 00:00:00,HARINAS DEL ISTMO S A,ESTADOS UNIDOS DE NORTEAMERICA,100119000000,10,1,19,Los demás,TRIGO ROJO SUAVE DE INVIERNO SIN MOLER,"PUERTO DE BALBOA, PANAMA",0.0,2436200.0,Kg,2436200.0,2436200.0,563467.62,66995.5,5634.68,636097.8,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Los demás,Cereales,0,Cereales,- - Los demás
2020-01-08 00:00:00,"INMOBILIARIA DON ANTONIO S,A.",GUATEMALA,80719000000,8,7,19,Los demás,MELONES FRESCOS,"PUERTO DE MANZANILLO, COLON",3.480483870967742,124.0,BX,2131.44,2221.7,2224.22,649.41,3.54,2877.17,431.58,0.0,0.0,0.0,431.58,,IMP_2020_1.xlsx,- - Los demás,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - Los demás
2020-01-08 00:00:00,FRESH CUT PANAMA,COSTA RICA,80450100090,8,4,50,Los demás,MANGOS,"PASO CANOAS, CHIRIQUI",0.0,300.0,PK,5100.0,5550.0,7500.0,800.0,54.78,8354.78,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- - - Los demás
2020-01-08 00:00:00,IMPORTADORA Y EXP HERMANOS GAGO S A,ESTADOS UNIDOS DE NORTEAMERICA,70310190000,7,3,10,Las demás,"CEBOLLAS AMARILLAS FRESCAS MEDIANAS (PESO POR BOLSA 22.68 KG, PRECIO POR BOLSA 12.75)","PUERTO DE BALBOA, PANAMA",7.65,1050.0,CS,23813.84,24766.0,10082.14,3296.0,9.36,13387.5,8032.5,0.0,0.0,0.0,8032.5,,IMP_2020_1.xlsx,- - - Las demás,"Hortalizas, plantas, raíces  y tubérculos alimenticios",72,Vegetales,- - - Las demás
2020-01-10 00:00:00,CERRO PUNTA S.A.,ECUADOR,60319500000,6,3,19,Sysofilia,GYSOFHILIA,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.49487499999999995,800.0,UN,449.93,449.93,1840.0,780.95,18.41,2639.36,395.9,0.0,0.0,0.0,395.9,,IMP_2020_1.xlsx,- - - Sysofilia,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-07 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,71290900000,7,12,90,Los demás,5429/PEREJIL TRITURADO,"PUERTO DE MANZANILLO, COLON",0.0,168.0,u,29.12,29.12,312.81,2.27,0.06,315.14,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Los demás,"Hortalizas, plantas, raíces  y tubérculos alimenticios",0,Vegetales,- - Los demás
2020-01-04 00:00:00,COOSEMANS PANAMA S.A,GUATEMALA,70993000000,7,9,93,Calabazas (zapallos)* y calabacines (Cucurbita spp.),CAJAS DE SUCHINI,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,35.0,CS,98.74,100.74,336.35,124.5,3.36,464.21,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Calabazas (zapallos)* y calabacines (Cucurbita spp.),"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - Calabazas (zapallos)* y calabacines (Cucurbita spp.)
2020-01-22 00:00:00,EL CANAL DE LAS FLORES S.A.,COSTA RICA,60319990000,6,3,19,Los demás,LIRIOS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,4924.0,UN,568.7,568.7,2669.12,621.39,26.69,3317.2,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-22 00:00:00,EL CANAL DE LAS FLORES S.A.,COSTA RICA,60420900090,6,4,20,Los demás,HELECHOS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,1200.0,UN,250.73,250.73,1200.0,273.96,12.0,1485.96,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Follaje
2020-01-21 00:00:00,AGENCIAS FEDURO S A,ESTADOS UNIDOS DE NORTEAMERICA,100630900000,10,6,30,Los demás,ARROZ DE GRANO LARGO 8 UN/ 5 LB PRECIO UNITARIO B/. 21.15,"PUERTO DE MANZANILLO, COLON",19.07018181818182,165.0,CS,2834.0,3024.882,3301.8,187.95,6.45,3496.2,3146.58,0.0,0.0,0.0,3146.58,,IMP_2020_1.xlsx,- - Los demás,Cereales,90,Cereales,- - Los demás
2020-01-29 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,71021000000,7,10,21,"Guisantes (arvejas, chícharos)* (Pisum sativum)",HABICHUELAS CONGELADAS,"PUERTO DE MANZANILLO, COLON",0.0,4.0,CS,18.24,18.24,41.81,7.05,0.17,49.03,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- - Arvejas (guisantes, chícharos)* (Pisum sativum)","Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,"- - Arvejas (guisantes, chícharos)* (Pisum sativum)"
2020-01-28 00:00:00,QUALITY FOODS HOLDING CORP,ESTADOS UNIDOS DE NORTEAMERICA,71220900000,7,12,20,Otras,CEBOLLA EN POLVO,"PUERTO DE MANZANILLO, COLON",0.0,47.0,CS,114.02,114.02,710.14,21.37,10.65,742.16,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Otras,"Hortalizas, plantas, raíces  y tubérculos alimenticios",0,Vegetales,- - Otras
2020-01-20 00:00:00,ATLANTIS PRODUCTS INC,REPUBLICA DOMINICANA,80440000000,8,4,40,Aguacates (paltas),AGUACATES SEMIL,"PUERTO DE MANZANILLO, COLON",1.15040625,1600.0,BX,18181.81,19636.36,9600.0,2575.0,96.0,12271.0,1840.65,0.0,0.0,0.0,1840.65,,IMP_2020_1.xlsx,- Aguacates (paltas)*,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,15,Frutas y Nueces,- Aguacates (paltas)*
2020-01-28 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,71290200000,7,12,90,Ajos en polvo,524550 AJO GRANULADO,"PUERTO DE MANZANILLO, COLON",0.0,672.0,u,463.5,463.5,3096.16,40.28,0.62,3137.06,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Ajos en polvo,"Hortalizas, plantas, raíces  y tubérculos alimenticios",10,Vegetales,- - Ajos en polvo
2020-01-28 00:00:00,PRICESMART PANAMA S A,ESTADOS UNIDOS DE NORTEAMERICA,91020200000,9,10,20,Trituradas o pulverizadas,5177 CURRY EN POLVO,"PUERTO DE MANZANILLO, COLON",0.0,336.0,u,154.5,154.5,1033.96,13.43,0.21,1047.6,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Trituradas o pulverizadas,"Café, té, yerba mate y especias",15,"Café, Té, Especias",- - Trituradas o pulverizadas
2020-01-27 00:00:00,RIBA SMITH S A,CHILE,80940000000,8,9,40,Ciruelas y endrinas,CIRUELAS FRESCAS,PSA PANAMA INTERNATIONAL TERMINAL,0.0,336.0,CS,2848.0,2848.0,7833.72,426.74,31.09,8291.55,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- Ciruelas y endrinas,Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,- Ciruelas y endrinas
2020-01-24 00:00:00,SYY PANAMA S DE R L,ESTADOS UNIDOS DE NORTEAMERICA,90230000000,9,2,30,"Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un contenido inferior o igual a 3 kg","TEA LEMON, TEA HOT BAG HERBAL","PUERTO DE MANZANILLO, COLON",0.0,19.0,CS,103.24,103.24,239.79,13.11,0.75,253.65,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"-Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un","Café, té, yerba mate y especias",,"Café, Té, Especias","-Té negro (fermentado) y té parcialmente fermentado, presentados en envases inmediatos con un"
2020-01-23 00:00:00,IMPORTADORA Y EXPORTADORA NIMAR  S  A,ESTADOS UNIDOS DE NORTEAMERICA,71022000000,7,10,22,"Judías (porotos, alubias, frijoles, fréjoles)* (Vigna spp. Phaseolus spp.)",JUDIAS VERDES CONGELADAS,"PUERTO DE MANZANILLO, COLON",0.0,45.0,CS,355.73,355.73,491.27,126.47,4.91,622.65,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- - Frijoles (judías, porotos, alubias, fréjoles)* (Vigna spp., Phaseolus spp.)","Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,"- - Frijoles (judías, porotos, alubias, fréjoles)* (Vigna spp., Phaseolus spp.)"
2020-01-25 00:00:00,"ECOFLORES, S.A.",COLOMBIA,60314000000,6,3,14,Crisantemos,CRISANTEMOS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.03217334208798424,6092.0,UN,242.56,242.56,1107.64,187.93,11.08,1306.65,196.0,0.0,0.0,0.0,196.0,,IMP_2020_1.xlsx,- - Crisantemos,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Crisantemos
2020-01-25 00:00:00,"ECOFLORES, S.A.",COLOMBIA,60319990000,6,3,19,Los demás,LEUCOSPERMUM,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.194,40.0,UN,9.4,9.4,44.0,7.28,0.44,51.72,7.76,0.0,0.0,0.0,7.76,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-24 00:00:00,RIBA SMITH S A,MEXICO,70200000000,7,2,0,Tomates frescos o refrigerados.,TOMATES FRESCOS (TOMATO KUMATO),"PUERTO DE BALBOA, PANAMA",8.186,5.0,CS,22.68,22.68,266.07,5.7,1.12,272.89,40.93,0.0,0.0,0.0,40.93,,IMP_2020_1.xlsx,Tomates frescos o refrigerados.,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,Tomates frescos o refrigerados.
2020-01-24 00:00:00,RIBA SMITH S A,MEXICO,70999900000,7,9,99,Los demás,ZAPALLO  (SQUASH ACORN),"PUERTO DE BALBOA, PANAMA",7.409999999999999,5.0,CS,79.38,79.38,226.07,19.96,0.95,246.98,37.05,0.0,0.0,0.0,37.05,,IMP_2020_1.xlsx,- - - Los demás,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- - - Los demás
2020-01-27 00:00:00,FRESH FLORAL Y FRUIT SERVICES,COSTA RICA,60420900090,6,4,20,Los demás,EUCALIPTO,"PASO CANOAS, CHIRIQUI",0.0,1.0,PK,11.79,11.79,30.0,4.59,0.23,34.82,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Follaje
2020-01-29 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,71090000000,7,10,90,Mezclas de hortalizas,VEGETALES MIXTOS CONGELADOS,"PUERTO DE MANZANILLO, COLON",0.0,25.0,CS,114.01,114.01,379.98,44.05,1.54,425.57,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- Mezclas de hortalizas,"Hortalizas, plantas, raíces  y tubérculos alimenticios",15,Vegetales,- Mezclas de hortalizas
2020-01-17 00:00:00,PROCESADORA MONTE AZUL  S  A,ESTADOS UNIDOS DE NORTEAMERICA,71290200000,7,12,90,Ajos en polvo,AJO GRANULADO,"PUERTO DE MANZANILLO, COLON",0.0,4.0,CS,58.97,58.97,98.6,14.04,1.48,114.12,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Ajos en polvo,"Hortalizas, plantas, raíces  y tubérculos alimenticios",10,Vegetales,- - Ajos en polvo
2020-01-14 00:00:00,"TRIPOLI INTERCONTINENTAL, S.A.",ESTADOS UNIDOS DE NORTEAMERICA,80620000000,8,6,20,"Secas, incluidad las pasas",ARANDANO DESHIDRATADO,,0.0,3300.0,UN,307.91,307.91,2720.74,38.79,12.47,2772.0,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- Secas, incluidas las pasas",Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,0,Frutas y Nueces,"- Secas, incluidas las pasas"
2020-01-20 00:00:00,CERRO PUNTA S A,"HOLANDA, NEDERLAND",60319990000,6,3,19,Los demás,LISIANTHUS DOUB,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,600.0,UN,38.18,38.18,492.0,257.76,4.92,754.68,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-23 00:00:00,CASA JUAN SIU S A,ESTADOS UNIDOS DE NORTEAMERICA,90961100000,9,9,61,De anís o de badiana,anís entero,"PUERTO DE MANZANILLO, COLON",0.0,12.0,BG,310.97,310.97,1289.57,57.11,3.3,1349.98,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Semillas de anís o de badiana,"Café, té, yerba mate y especias",0,"Café, Té, Especias",- - - Semillas de anís o de badiana
2020-01-21 00:00:00,AGENCIAS FEDURO S A,ESTADOS UNIDOS DE NORTEAMERICA,100620100010,10,6,20,"Arroz parbolizado («parboiledrice») , enenvases inferiores o igual a 5 kilos netos, acondicionados para la venta al por menor",ARROZ TIPO PARBOLARIZADO (PARBOILED) (GOLD) - 8 UN/ 5 LB PRECIO UNITARIO B/. 22.25,"PUERTO DE CRISTOBAL, COLON",3.343652173913043,115.0,CS,2096.0,2144.547,2387.24,171.51,4.73,2563.48,384.52,0.0,0.0,0.0,384.52,,IMP_2020_1.xlsx,,,,Otros Agrícolas,ARROZ TIPO PARBOLARIZADO (PARBOILED) (GOLD) - 8 UN/ 5 LB PRECIO UNITARIO B/. 22.25
2020-01-16 00:00:00,"ECOFLORES, S.A.",COLOMBIA,60319990000,6,3,19,Los demás,MYRISCINA,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0315,480.0,UN,18.97,18.97,86.4,13.51,0.86,100.77,15.12,0.0,0.0,0.0,15.12,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-23 00:00:00,EL CANAL DE LAS FLORES S.A.,COSTA RICA,60420900090,6,4,20,Los demás,EUONYMUS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,30.0,UN,6.94,6.94,38.57,7.96,0.39,46.92,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Follaje
2020-01-23 00:00:00,INDUSTRIAS PANAMA BOSTON S A,COSTA RICA,90121000000,9,1,21,Sin descafeinar,CAFE 1820 MOLIDO,"PASO CANOAS, CHIRIQUI",17.864798165137614,1090.0,BX,7288.75,8155.25,35025.55,1000.0,34.87,36060.42,19472.63,0.0,0.0,0.0,19472.63,,IMP_2020_1.xlsx,- - Sin descafeinar,"Café, té, yerba mate y especias",60,"Café, Té, Especias",- - Sin descafeinar
2020-01-16 00:00:00,ONTARIO COFFEE PANAMA S.A.,ZONA LIBRE DE COLON,90190000090,9,1,90,Los demás,CAFE SIN DESCAFEINAR,,0.11200554528650647,108200.0,UN,869.67,869.67,39175.9,829.02,391.76,40396.68,12119.0,0.0,0.0,0.0,12119.0,,IMP_2020_1.xlsx,- - Los demás,"Café, té, yerba mate y especias",30,"Café, Té, Especias",- - Los demás
2020-01-13 00:00:00,EL CANAL DE LAS FLORES S.A.,COSTA RICA,60319990000,6,3,19,Los demás,LIRIOS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.0,1000.0,UN,51.79,51.79,250.0,56.22,2.5,308.72,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - - - Los demás,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Otras Flores
2020-01-17 00:00:00,RIBA SMITH S A,ESTADOS UNIDOS DE NORTEAMERICA,81350000000,8,13,50,"Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo",FRUTAS SECAS EN PAQUETE,"PUERTO DE MANZANILLO, COLON",0.0,100.0,CS,429.67,429.67,4732.51,120.51,18.8,4871.82,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,"- Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo",Las frutas y otros frutos refrigerados se clasificarán en las mismas partidas que las frutas y frutos frescos correspondientes.Este Capítulo no comprende los frutos no comestibles.,5,Frutas y Nueces,"- Mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo"
2020-01-30 00:00:00,REPRICO S A,ESTADOS UNIDOS DE NORTEAMERICA,90122000000,9,1,22,Descafeinado,CAFÉ (LIONS MANE MUSHROOM COFFEE).,"PUERTO DE MANZANILLO, COLON",0.0,6.0,u,14.0,14.0,49.44,7.18,0.49,57.11,0.0,0.0,0.0,0.0,0.0,,IMP_2020_1.xlsx,- - Descafeinado,"Café, té, yerba mate y especias",30,"Café, Té, Especias",- - Descafeinado
2020-02-07 00:00:00,CERRO PUNTA S.A.,ECUADOR,60311000000,6,3,11,Rosas,ROSAS Y MINIROSAS,"AEROPUERTO CARGA TOCUMEN, PANAMA",0.04783222222222222,27000.0,UN,1237.81,1237.81,6210.0,2337.68,62.1,8609.78,1291.47,0.0,0.0,0.0,1291.47,,IMP_2020_1.xlsx,- - Rosas,Plantas vivas y productos de la floriculturaSección II,15,Flores y Plantas,Rosas
