tipo_producto,shipments,total_volume,total_value_usd,avg_price_per_unit,num_importers
Rosas,4317,52628350.129999995,2455920.06,0.07,62
Otras Flores,24091,38458188.21,1831675.33,0.08,66
Crisantemos,2282,24603332.1,857050.66,0.04,38
Claveles,2942,21074696.6,522873.2,0.04,36
Plantas Vivas,640,6854211.100000001,16754.29,0.29,73
Follaje,4522,3418812.7899999996,98741.73,0.23,71
Azucenas,717,711459.0,17986.8,0.06,17
Gerberas,726,621608.0,32626.77,0.05,22
Gladiolas,280,157070.0,13925.42,0.11,8
Orquídeas,119,36594.0,3188.46,0.19,14
